signalname,pub_year,n_j,mean_m,sd_m,sharpe_m,sharpe_ann,frontier_at_nj,margin,censored
MomVol,2000,288,1.1403157450452333,10.440996879005404,0.109215217498835,0.3783326113353357,1.186108393023167,-0.8077757816878314,False
NOA,2004,240,0.0179970538940667,3.4940699271981317,0.0051507423345984,0.0178426948404408,1.2817175976009691,-1.2638749027605283,False
NetDebtFinance,2006,216,0.3634332016258649,1.9840090386580251,0.183181222738627,0.6345583695517866,1.3932616696084048,-0.7587033000566182,False
NetDebtPrice,2007,204,0.0961775119846779,5.174524418072967,0.01858673458932,0.0643863373110002,1.4490337056121227,-1.3846473683011224,False
NetEquityFinance,2006,216,1.0197717461498654,4.886931691319114,0.2086732147210762,0.7228652201512674,1.3932616696084048,-0.6703964494571374,False
NetPayoutYield,2007,204,1.49354706742342,5.646557078355644,0.2645057947166562,0.916274950691264,1.4490337056121227,-0.5327587549208588,False
NumEarnIncrease,2012,144,0.310308049105735,1.619825769217305,0.1915687816571006,0.6636137259483341,1.727893885630712,-1.0642801596823779,False
OPLeverage,2011,156,-0.0292871059573362,3.086750096934982,-0.0094880068154584,-0.0328674197338677,1.672121849626994,-1.7049892693608617,False
OScore,1998,312,1.1061040984573869,6.6852995611665404,0.1654531840102583,0.57314664195962,1.1383037907342661,-0.5651571487746462,False
OperProf,2006,216,0.4542741537325018,2.81625960272346,0.1613040762624286,0.5587737111089824,1.3932616696084048,-0.8344879584994224,False
OperProfRD,2016,96,0.975688772758708,5.7473510889552895,0.1697632105046955,0.5880770117002864,2.2482019482244024,-1.6601249365241162,True
OptionVolume1,2012,129,0.0965688816543934,2.76207665474165,0.0349624191235293,0.1211133725549411,1.7976089306353593,-1.6764955580804182,False
OptionVolume2,2012,129,-0.1905061535287833,1.548813575570394,-0.1230013453740706,-0.4260891591744349,1.7976089306353593,-2.223698089809794,False
OrderBacklog,2003,252,-0.29681739229171,2.3576134649474234,-0.1258973944222571,-0.4361213673597758,1.2578152964565186,-1.6939366638162943,False
OrderBacklogChg,2007,204,0.6592545159729051,3.6763905427802057,0.1793211325895631,0.621186625031837,1.4490337056121227,-0.8278470805802858,False
OrgCap,2013,132,0.1845477647981458,2.465193614432106,0.0748613673659296,0.2593273836037378,1.7836659216344297,-1.524338538030692,False
PS,2000,288,0.5949707941048267,8.747184968494711,0.0680185449659256,0.2356231514757831,1.186108393023167,-0.9504852415473839,False
PatentsRD,2013,48,-5.224885000648185,18.1209454944596,-0.2883340166905568,-0.998818332916914,3.199084243967326,-4.19790257688424,True
PayoutYield,2007,204,0.2012320752305077,3.3142332197248163,0.0607175361205317,0.2103317149423189,1.4490337056121227,-1.2387019906698038,False
PctAcc,2011,156,0.1197938027493248,1.4725744556050724,0.0813499122528933,0.2818043624265625,1.672121849626994,-1.3903174872004316,False
PctTotAcc,2011,156,0.3881421112738286,1.7349610789545598,0.2237180510745016,0.7749820620626517,1.672121849626994,-0.8971397875643423,False
